protein1	protein2	combined_score
GENE_0189	GENE_0085	388
GENE_0020	GENE_0060	728
GENE_0052	GENE_0184	913
FANCA	GENE_0106	372
GENE_0096	TP53	614
GENE_0007	GENE_0076	504
GENE_0123	GENE_0105	401
GENE_0093	GENE_0076	356
GENE_0081	GENE_0199	748
MUTYH	GENE_0089	306
GENE_0007	GENE_0008	231
GENE_0029	GENE_0163	237
TSC1	GENE_0115	626
GENE_0128	GENE_0045	973
GENE_0165	GENE_0158	910
GENE_0169	MLH1	960
GENE_0160	GENE_0072	223
GENE_0127	GENE_0170	444
GENE_0001	GENE_0058	234
GENE_0148	BARD1	984
GENE_0130	NF1	452
RAD51D	GENE_0067	366
CHEK2	GENE_0101	375
GENE_0096	GENE_0088	953
GENE_0092	GENE_0020	718
GENE_0156	GENE_0043	429
GENE_0047	GENE_0114	987
GENE_0153	GENE_0115	626
GENE_0074	GENE_0145	531
GENE_0042	GENE_0069	775
GENE_0177	PALB2	377
GENE_0025	GENE_0185	853
GENE_0022	GENE_0009	361
GENE_0123	GENE_0083	705
GENE_0065	GENE_0046	444
GENE_0133	GENE_0131	279
GENE_0115	GENE_0052	990
GENE_0046	GENE_0189	882
GENE_0181	GENE_0186	585
GENE_0122	VHL	278
NF2	GENE_0006	563
GENE_0051	TSC1	304
APC	GENE_0148	547
GENE_0081	NBN	177
GENE_0062	GENE_0169	375
GENE_0105	GENE_0012	654
GENE_0190	BRCA2	236
GENE_0066	GENE_0109	921
BRIP1	GENE_0167	650
GENE_0142	VHL	338
GENE_0191	NF1	791
GENE_0071	GENE_0115	411
GENE_0008	GENE_0078	403
GENE_0114	MLH1	905
GENE_0076	PTEN	926
MSH2	GENE_0125	661
GENE_0141	GENE_0137	929
GENE_0184	GENE_0178	972
GENE_0183	GENE_0043	815
PTEN	GENE_0181	297
GENE_0054	GENE_0017	583
GENE_0144	GENE_0199	789
GENE_0178	GENE_0124	843
GENE_0058	GENE_0097	184
GENE_0050	GENE_0003	310
GENE_0033	GENE_0166	984
GENE_0187	GENE_0134	870
GENE_0103	GENE_0120	571
GENE_0067	GENE_0118	334
GENE_0179	GENE_0123	457
GENE_0008	MUTYH	401
GENE_0035	GENE_0016	675
GENE_0199	GENE_0141	511
GENE_0006	SMAD4	968
GENE_0143	GENE_0134	305
GENE_0189	GENE_0015	704
GENE_0042	GENE_0146	852
GENE_0032	GENE_0164	973
GENE_0102	GENE_0124	548
GENE_0042	GENE_0124	159
GENE_0104	GENE_0000	445
GENE_0172	GENE_0030	806
GENE_0046	GENE_0036	773
GENE_0023	GENE_0150	914
GENE_0030	GENE_0141	873
GENE_0040	RECQL	695
GENE_0100	GENE_0019	349
BARD1	GENE_0048	877
GENE_0039	GENE_0019	505
GENE_0045	GENE_0043	612
GENE_0088	GENE_0186	439
GENE_0010	GENE_0083	244
GENE_0083	GENE_0168	627
EPCAM	GENE_0158	900
GENE_0058	GENE_0190	453
GENE_0116	GENE_0167	790
GENE_0098	GENE_0188	476
GENE_0095	GENE_0077	750
GENE_0196	GENE_0185	814
GENE_0064	GENE_0134	459
GENE_0021	GENE_0120	526
GENE_0095	GENE_0063	245
GENE_0188	GENE_0181	909
GENE_0065	GENE_0151	880
MSH2	GENE_0103	992
GENE_0009	GENE_0141	611
GENE_0182	GENE_0038	878
GENE_0181	GENE_0104	999
GENE_0129	GENE_0087	827
GENE_0051	NF1	939
GENE_0027	CHEK2	629
GENE_0166	GENE_0050	875
BRCA1	GENE_0171	906
GENE_0028	GENE_0083	530
GENE_0128	GENE_0150	202
GENE_0157	GENE_0154	151
TSC2	GENE_0003	262
GENE_0121	GENE_0043	566
GENE_0187	GENE_0165	383
GENE_0087	RAD51C	336
GENE_0144	GENE_0008	329
GENE_0192	GENE_0082	380
BRCA2	GENE_0091	189
GENE_0188	GENE_0068	891
GENE_0038	GENE_0128	468
GENE_0155	TSC1	204
GENE_0176	GENE_0088	772
GENE_0049	GENE_0018	155
EPCAM	GENE_0117	658
EPCAM	GENE_0051	622
GENE_0072	GENE_0070	680
GENE_0081	GENE_0194	980
GENE_0006	GENE_0001	377
MUTYH	GENE_0012	220
GENE_0141	MLH1	641
GENE_0079	GENE_0063	636
GENE_0066	GENE_0099	604
TSC1	GENE_0021	205
GENE_0067	GENE_0025	383
GENE_0002	GENE_0180	405
GENE_0056	GENE_0099	578
GENE_0198	GENE_0138	830
GENE_0124	GENE_0001	266
GENE_0003	GENE_0048	308
GENE_0166	TSC2	509
GENE_0051	GENE_0174	337
GENE_0094	GENE_0070	286
GENE_0176	GENE_0181	300
GENE_0094	GENE_0172	720
GENE_0185	GENE_0023	520
GENE_0129	GENE_0193	724
GENE_0143	GENE_0045	259
GENE_0156	GENE_0027	670
MLH1	MUTYH	829
GENE_0199	EPCAM	279
GENE_0010	GENE_0126	256
GENE_0021	TSC2	331
GENE_0171	GENE_0092	822
GENE_0184	GENE_0106	978
GENE_0188	GENE_0090	382
GENE_0146	GENE_0168	151
GENE_0044	GENE_0175	582
GENE_0020	GENE_0012	576
GENE_0014	RECQL	575
GENE_0016	GENE_0079	798
GENE_0017	GENE_0110	174
GENE_0046	GENE_0143	667
GENE_0006	GENE_0127	328
GENE_0039	GENE_0113	933
GENE_0039	GENE_0117	421
GENE_0176	GENE_0103	919
GENE_0053	GENE_0038	677
GENE_0174	GENE_0050	799
GENE_0096	GENE_0138	888
GENE_0154	GENE_0109	202
GENE_0083	GENE_0060	831
GENE_0151	GENE_0191	312
GENE_0149	GENE_0153	302
GENE_0074	GENE_0194	861
GENE_0138	GENE_0002	838
GENE_0184	GENE_0037	502
CDH1	GENE_0152	635
GENE_0078	GENE_0023	317
GENE_0066	GENE_0136	674
GENE_0190	GENE_0191	221
GENE_0179	GENE_0080	534
GENE_0118	STK11	548
GENE_0150	GENE_0159	693
GENE_0106	GENE_0032	291
GENE_0153	GENE_0059	458
GENE_0122	GENE_0026	394
GENE_0192	RAD51C	561
GENE_0168	GENE_0061	632
GENE_0015	GENE_0042	976
GENE_0180	GENE_0061	368
GENE_0002	GENE_0011	543
BARD1	GENE_0182	539
GENE_0126	GENE_0134	246
GENE_0128	GENE_0027	348
GENE_0024	GENE_0070	285
GENE_0160	GENE_0049	830
GENE_0149	MSH2	171
GENE_0153	BARD1	975
GENE_0047	GENE_0176	501
GENE_0146	GENE_0045	967
FANCD2	VHL	588
GENE_0037	GENE_0168	464
GENE_0089	GENE_0148	802
MUTYH	GENE_0177	664
EPCAM	MEN1	806
GENE_0119	GENE_0110	752
GENE_0117	GENE_0162	376
GENE_0101	GENE_0049	651
GENE_0045	GENE_0052	570
ATM	GENE_0088	323
GENE_0147	GENE_0003	200
VHL	GENE_0197	936
GENE_0064	GENE_0147	667
GENE_0116	GENE_0054	449
GENE_0100	GENE_0088	881
GENE_0016	CHEK2	288
GENE_0063	GENE_0076	573
GENE_0025	GENE_0165	321
GENE_0196	GENE_0034	331
GENE_0130	RAD51D	426
GENE_0173	GENE_0093	185
GENE_0162	GENE_0067	484
GENE_0023	MSH2	614
GENE_0056	GENE_0098	845
GENE_0057	GENE_0132	291
GENE_0142	GENE_0059	616
GENE_0138	GENE_0101	816
GENE_0008	GENE_0063	425
GENE_0070	GENE_0170	675
GENE_0044	GENE_0023	260
GENE_0196	GENE_0134	781
GENE_0074	GENE_0118	826
GENE_0034	GENE_0015	304
GENE_0169	GENE_0016	196
GENE_0018	CHEK2	951
GENE_0113	GENE_0186	632
GENE_0062	GENE_0140	740
GENE_0147	GENE_0026	324
GENE_0093	GENE_0067	339
GENE_0075	BRIP1	905
GENE_0048	GENE_0188	899
GENE_0089	GENE_0113	276
GENE_0074	GENE_0053	493
GENE_0103	GENE_0017	600
GENE_0127	GENE_0189	151
GENE_0055	BARD1	908
GENE_0150	GENE_0140	955
GENE_0028	GENE_0041	426
GENE_0008	GENE_0047	568
GENE_0023	GENE_0131	590
GENE_0092	GENE_0151	450
GENE_0043	APC	491
GENE_0175	GENE_0114	533
GENE_0196	GENE_0188	732
GENE_0000	GENE_0020	905
GENE_0082	GENE_0106	420
GENE_0181	GENE_0072	424
GENE_0079	GENE_0055	551
GENE_0068	GENE_0014	151
GENE_0109	GENE_0032	733
GENE_0160	GENE_0175	577
GENE_0193	GENE_0168	883
GENE_0017	BARD1	762
GENE_0111	GENE_0004	342
GENE_0084	GENE_0029	579
GENE_0076	GENE_0172	245
GENE_0176	GENE_0190	603
TP53	GENE_0194	495
GENE_0113	GENE_0198	801
GENE_0094	GENE_0051	355
GENE_0180	GENE_0132	465
GENE_0118	GENE_0133	677
GENE_0014	GENE_0183	270
APC	GENE_0025	970
GENE_0048	RECQL	599
GENE_0172	GENE_0145	447
GENE_0104	GENE_0165	263
GENE_0059	GENE_0139	163
GENE_0033	GENE_0013	994
GENE_0037	GENE_0174	802
GENE_0196	GENE_0009	370
GENE_0042	GENE_0012	876
GENE_0086	GENE_0022	498
RET	GENE_0065	788
GENE_0058	GENE_0075	897
BARD1	GENE_0102	451
GENE_0014	GENE_0107	479
MEN1	GENE_0029	488
GENE_0046	PALB2	344
GENE_0153	GENE_0177	748
GENE_0033	GENE_0010	906
GENE_0007	RET	198
GENE_0022	GENE_0168	464
GENE_0036	GENE_0090	560
GENE_0197	BRCA1	291
GENE_0188	GENE_0101	679
APC	GENE_0188	973
GENE_0147	GENE_0149	890
GENE_0157	GENE_0062	240
GENE_0142	GENE_0156	449
GENE_0070	GENE_0084	414
GENE_0128	NBN	780
GENE_0014	GENE_0055	473
GENE_0050	GENE_0100	688
GENE_0111	GENE_0026	281
GENE_0067	GENE_0147	210
GENE_0121	GENE_0106	587
PTEN	GENE_0158	699
GENE_0149	GENE_0013	728
GENE_0072	GENE_0166	824
MLH1	GENE_0018	376
GENE_0021	SMAD4	379
MEN1	GENE_0099	983
GENE_0041	GENE_0129	662
GENE_0034	GENE_0122	936
GENE_0153	GENE_0190	958
GENE_0012	GENE_0096	208
GENE_0124	GENE_0074	596
GENE_0086	GENE_0100	755
GENE_0037	GENE_0159	289
GENE_0178	NF2	874
GENE_0068	GENE_0071	981
GENE_0021	GENE_0005	280
GENE_0071	GENE_0047	214
RAD51C	GENE_0099	369
GENE_0062	GENE_0144	582
GENE_0149	GENE_0104	249
GENE_0054	GENE_0175	237
GENE_0116	GENE_0013	421
NBN	GENE_0152	686
GENE_0161	GENE_0065	761
GENE_0134	EPCAM	993
FANCA	GENE_0183	938
GENE_0114	GENE_0106	401
GENE_0022	GENE_0107	276
GENE_0047	GENE_0106	320
GENE_0008	GENE_0096	924
GENE_0174	GENE_0034	817
TP53	GENE_0079	699
GENE_0119	GENE_0017	268
GENE_0087	GENE_0120	348
FANCD2	GENE_0039	775
GENE_0149	GENE_0023	637
GENE_0173	GENE_0050	747
GENE_0146	GENE_0077	406
GENE_0084	GENE_0069	468
GENE_0184	GENE_0199	778
GENE_0168	GENE_0070	415
MUTYH	GENE_0076	553
GENE_0164	GENE_0033	942
GENE_0065	GENE_0187	886
GENE_0166	GENE_0052	440
MLH1	GENE_0189	765
GENE_0175	GENE_0029	260
GENE_0151	GENE_0177	549
GENE_0060	GENE_0186	760
FANCA	VHL	162
GENE_0131	GENE_0192	264
BRCA1	GENE_0084	345
GENE_0034	GENE_0007	679
GENE_0193	GENE_0056	881
GENE_0002	GENE_0094	442
GENE_0083	GENE_0078	854
GENE_0085	GENE_0077	461
GENE_0055	GENE_0008	784
GENE_0079	CHEK2	754
GENE_0142	GENE_0060	303
GENE_0073	GENE_0140	260
GENE_0129	GENE_0086	732
GENE_0053	GENE_0044	622
VHL	GENE_0187	549
GENE_0030	GENE_0024	842
GENE_0058	FANCD2	667
GENE_0109	GENE_0159	876
MEN1	GENE_0150	736
FANCA	GENE_0086	159
GENE_0079	GENE_0127	811
GENE_0175	NF1	383
GENE_0018	GENE_0102	351
GENE_0067	GENE_0105	640
GENE_0092	GENE_0196	618
GENE_0098	GENE_0108	827
GENE_0018	GENE_0099	692
GENE_0071	GENE_0133	261
PALB2	GENE_0195	706
SMAD4	GENE_0076	815
MSH2	GENE_0162	926
GENE_0174	GENE_0060	950
BRCA1	GENE_0073	515
GENE_0054	GENE_0018	945
GENE_0191	GENE_0148	818
GENE_0165	GENE_0051	929
GENE_0007	GENE_0094	750
GENE_0169	GENE_0178	589
BRIP1	GENE_0103	364
GENE_0052	GENE_0055	265
GENE_0181	GENE_0172	728
GENE_0152	GENE_0150	309
GENE_0125	GENE_0002	358
GENE_0161	GENE_0126	469
GENE_0164	GENE_0109	855
GENE_0012	GENE_0180	860
GENE_0193	APC	890
GENE_0164	NF1	216
GENE_0036	GENE_0160	251
GENE_0139	GENE_0112	548
GENE_0113	GENE_0146	639
GENE_0064	EPCAM	430
GENE_0026	GENE_0152	184
EPCAM	GENE_0011	347
GENE_0174	GENE_0137	237
GENE_0079	FANCD2	221
GENE_0190	GENE_0035	669
GENE_0097	GENE_0166	520
GENE_0075	GENE_0151	627
GENE_0180	GENE_0116	962
GENE_0055	GENE_0137	652
GENE_0053	GENE_0027	575
GENE_0153	MSH2	825
GENE_0089	GENE_0151	715
GENE_0055	GENE_0171	501
GENE_0028	GENE_0141	885
GENE_0117	GENE_0065	204
GENE_0008	APC	579
GENE_0156	GENE_0068	596
GENE_0024	GENE_0065	949
GENE_0124	TSC2	407
GENE_0164	GENE_0134	238
GENE_0068	GENE_0060	447
GENE_0121	GENE_0071	251
GENE_0090	GENE_0122	393
GENE_0041	GENE_0193	440
VHL	GENE_0144	528
GENE_0073	GENE_0141	540
TSC2	GENE_0172	162
GENE_0160	CHEK2	551
GENE_0062	MEN1	685
GENE_0191	GENE_0054	163
GENE_0017	GENE_0012	367
GENE_0150	BRCA1	502
GENE_0193	GENE_0049	325
PTEN	GENE_0078	708
RAD51D	GENE_0177	502
GENE_0191	GENE_0166	215
GENE_0176	GENE_0054	778
GENE_0056	GENE_0114	370
GENE_0179	GENE_0125	674
GENE_0002	GENE_0058	706
GENE_0001	GENE_0003	856
GENE_0117	GENE_0105	428
GENE_0171	GENE_0125	688
GENE_0110	GENE_0189	839
GENE_0045	GENE_0054	338
GENE_0096	BRIP1	672
GENE_0117	GENE_0096	448
GENE_0047	GENE_0055	826
GENE_0089	GENE_0063	863
GENE_0036	GENE_0085	623
GENE_0189	GENE_0184	345
GENE_0034	GENE_0070	797
GENE_0165	GENE_0074	742
GENE_0185	GENE_0162	703
NF2	GENE_0009	819
GENE_0056	GENE_0090	297
GENE_0020	GENE_0037	496
BRIP1	GENE_0003	862
GENE_0104	GENE_0130	973
GENE_0075	GENE_0111	672
GENE_0150	GENE_0055	395
GENE_0088	GENE_0185	168
GENE_0139	GENE_0153	185
GENE_0146	MSH2	337
GENE_0115	GENE_0000	409
GENE_0106	GENE_0054	908
GENE_0121	GENE_0037	247
GENE_0004	GENE_0034	323
GENE_0185	GENE_0117	375
GENE_0019	GENE_0014	491
GENE_0105	GENE_0078	442
GENE_0166	GENE_0023	946
BRCA2	GENE_0124	535
GENE_0189	GENE_0010	543
GENE_0065	GENE_0097	927
GENE_0012	BRIP1	767
GENE_0162	GENE_0013	978
MEN1	GENE_0032	303
GENE_0007	GENE_0088	477
GENE_0117	GENE_0014	861
GENE_0198	GENE_0183	836
GENE_0112	GENE_0199	790
GENE_0169	RET	767
GENE_0196	GENE_0116	729
GENE_0156	GENE_0061	877
GENE_0166	GENE_0009	925
GENE_0061	GENE_0003	845
STK11	GENE_0187	657
GENE_0190	GENE_0193	287
GENE_0155	GENE_0121	884
GENE_0092	GENE_0097	315
GENE_0121	TSC1	815
GENE_0063	GENE_0189	645
GENE_0095	GENE_0047	150
GENE_0028	GENE_0190	794
GENE_0157	GENE_0185	183
GENE_0105	GENE_0090	174
BRCA2	GENE_0141	970
GENE_0108	GENE_0132	762
GENE_0148	GENE_0158	807
GENE_0099	GENE_0159	866
GENE_0173	GENE_0183	253
GENE_0107	GENE_0193	818
GENE_0053	GENE_0040	270
GENE_0117	GENE_0103	529
GENE_0066	FANCA	453
GENE_0021	GENE_0102	758
GENE_0165	GENE_0079	176
BRIP1	GENE_0150	412
GENE_0118	GENE_0099	692
GENE_0073	FANCA	696
TSC2	GENE_0091	964
GENE_0112	GENE_0148	361
GENE_0092	GENE_0183	701
GENE_0004	TP53	598
GENE_0040	GENE_0162	657
GENE_0127	GENE_0145	387
GENE_0071	GENE_0128	841
GENE_0083	GENE_0026	154
GENE_0117	GENE_0080	922
STK11	GENE_0111	159
GENE_0107	GENE_0118	899
GENE_0048	TSC2	925
GENE_0055	GENE_0081	435
GENE_0145	GENE_0011	216
RECQL	GENE_0093	166
GENE_0167	GENE_0017	232
GENE_0103	BRCA1	542
CHEK2	GENE_0191	435
GENE_0092	GENE_0148	798
CDH1	BRCA1	718
GENE_0004	GENE_0183	877
GENE_0053	GENE_0034	774
GENE_0170	MUTYH	983
TSC1	VHL	927
GENE_0148	GENE_0114	981
BRCA2	GENE_0177	589
GENE_0180	GENE_0054	896
GENE_0071	GENE_0001	719
GENE_0045	GENE_0072	365
GENE_0086	GENE_0119	411
GENE_0030	GENE_0028	956
GENE_0076	GENE_0122	806
GENE_0098	GENE_0040	350
GENE_0030	GENE_0041	258
GENE_0178	MUTYH	380
GENE_0165	GENE_0159	523
GENE_0026	GENE_0112	266
GENE_0113	MUTYH	521
TSC2	GENE_0101	971
GENE_0170	GENE_0043	546
GENE_0072	GENE_0084	706
MUTYH	GENE_0138	198
GENE_0124	GENE_0092	641
GENE_0051	GENE_0127	441
GENE_0194	GENE_0011	507
GENE_0076	MEN1	550
GENE_0114	GENE_0077	798
PALB2	EPCAM	625
GENE_0019	GENE_0158	562
GENE_0089	GENE_0137	177
GENE_0032	GENE_0031	507
GENE_0009	GENE_0186	302
GENE_0075	MEN1	419
TP53	GENE_0000	362
GENE_0133	GENE_0094	822
VHL	GENE_0053	422
GENE_0160	GENE_0002	890
GENE_0083	GENE_0063	760
GENE_0013	GENE_0050	377
GENE_0125	GENE_0110	388
GENE_0001	MLH1	219
GENE_0097	GENE_0072	719
GENE_0088	GENE_0154	951
GENE_0027	NF2	419
GENE_0094	GENE_0023	957
GENE_0084	GENE_0143	350
GENE_0066	GENE_0037	956
GENE_0028	GENE_0177	623
GENE_0038	GENE_0018	421
GENE_0140	GENE_0025	453
GENE_0061	GENE_0079	683
GENE_0037	GENE_0133	907
GENE_0111	GENE_0057	571
GENE_0033	GENE_0051	922
GENE_0175	GENE_0023	267
TSC1	GENE_0000	423
GENE_0084	GENE_0088	322
GENE_0179	GENE_0084	904
FANCD2	GENE_0092	693
FANCA	GENE_0146	311
GENE_0171	GENE_0018	283
GENE_0174	GENE_0056	284
GENE_0147	GENE_0100	637
PALB2	GENE_0060	248
GENE_0064	NF2	986
GENE_0156	EPCAM	202
GENE_0044	GENE_0124	771
GENE_0138	GENE_0143	865
GENE_0113	GENE_0091	394
GENE_0057	GENE_0008	481
GENE_0079	GENE_0152	608
MUTYH	GENE_0168	375
GENE_0028	GENE_0087	494
GENE_0121	GENE_0018	509
GENE_0143	GENE_0125	890
GENE_0003	GENE_0166	158
GENE_0065	GENE_0009	863
GENE_0168	GENE_0040	220
GENE_0156	GENE_0168	540
CDH1	GENE_0024	917
GENE_0042	GENE_0074	418
GENE_0101	GENE_0107	319
GENE_0160	GENE_0048	708
GENE_0075	GENE_0136	279
GENE_0130	NBN	364
BARD1	GENE_0073	408
GENE_0041	CHEK2	605
GENE_0067	GENE_0110	383
GENE_0140	BRCA1	246
GENE_0030	GENE_0176	563
RECQL	GENE_0064	835
RET	FANCA	335
GENE_0087	GENE_0055	856
GENE_0108	GENE_0162	691
GENE_0034	GENE_0124	333
GENE_0017	GENE_0180	815
NBN	GENE_0023	995
GENE_0009	GENE_0027	490
GENE_0127	GENE_0058	343
GENE_0115	GENE_0150	327
GENE_0053	GENE_0144	991
GENE_0120	GENE_0072	997
GENE_0139	GENE_0090	308
GENE_0107	GENE_0159	282
GENE_0081	GENE_0037	307
GENE_0118	GENE_0132	171
GENE_0191	GENE_0088	780
GENE_0116	NF1	548
GENE_0197	GENE_0048	311
GENE_0129	ATM	779
GENE_0113	GENE_0181	356
GENE_0139	GENE_0058	301
GENE_0037	GENE_0062	576
GENE_0123	GENE_0171	369
GENE_0041	GENE_0145	908
GENE_0011	MEN1	532
GENE_0005	GENE_0129	511
GENE_0151	GENE_0093	372
EPCAM	GENE_0021	412
GENE_0070	GENE_0065	884
GENE_0067	GENE_0058	979
GENE_0143	GENE_0145	217
GENE_0166	APC	247
GENE_0136	GENE_0040	611
GENE_0197	RET	867
RAD51C	GENE_0119	248
GENE_0158	GENE_0143	704
GENE_0091	GENE_0119	908
GENE_0116	GENE_0021	682
RAD51D	APC	687
GENE_0139	GENE_0196	297
GENE_0164	GENE_0150	221
GENE_0196	GENE_0149	790
GENE_0090	GENE_0095	823
GENE_0166	RAD51D	472
ATM	GENE_0039	685
GENE_0182	GENE_0055	254
GENE_0063	GENE_0055	662
SMAD4	GENE_0187	817
GENE_0062	GENE_0159	835
GENE_0125	GENE_0097	805
RET	GENE_0095	618
GENE_0173	GENE_0120	567
GENE_0089	GENE_0082	626
GENE_0055	PTEN	983
GENE_0086	MUTYH	622
CHEK2	GENE_0139	837
GENE_0067	GENE_0180	457
GENE_0135	GENE_0088	250
GENE_0170	GENE_0178	617
GENE_0169	GENE_0007	224
GENE_0094	GENE_0089	720
GENE_0064	GENE_0047	881
PTEN	GENE_0161	407
GENE_0119	GENE_0135	586
GENE_0075	CDH1	311
GENE_0092	GENE_0119	560
GENE_0038	GENE_0034	735
RECQL	PALB2	817
GENE_0078	GENE_0047	167
GENE_0121	GENE_0026	170
GENE_0065	GENE_0023	824
GENE_0015	GENE_0158	839
EPCAM	GENE_0040	344
GENE_0051	GENE_0085	194
GENE_0097	GENE_0103	591
GENE_0034	GENE_0003	193
GENE_0023	GENE_0190	639
GENE_0008	GENE_0190	235
GENE_0086	APC	395
GENE_0156	GENE_0108	332
GENE_0017	GENE_0006	391
GENE_0171	GENE_0155	642
GENE_0010	GENE_0197	841
APC	GENE_0004	430
VHL	GENE_0192	225
GENE_0010	GENE_0105	173
GENE_0071	GENE_0156	507
GENE_0118	GENE_0145	347
GENE_0066	GENE_0183	164
GENE_0062	GENE_0009	342
GENE_0002	GENE_0144	219
GENE_0047	GENE_0111	468
GENE_0153	GENE_0089	807
GENE_0185	GENE_0016	976
GENE_0071	GENE_0083	164
GENE_0108	GENE_0129	365
GENE_0038	GENE_0023	348
EPCAM	NF2	306
GENE_0026	GENE_0108	811
GENE_0102	GENE_0153	715
GENE_0001	GENE_0079	647
GENE_0111	GENE_0044	419
CHEK2	GENE_0104	217
GENE_0032	GENE_0183	633
GENE_0117	GENE_0049	215
GENE_0116	GENE_0110	269
NF2	TP53	651
GENE_0131	GENE_0163	263
GENE_0081	GENE_0087	912
GENE_0132	GENE_0175	629
GENE_0100	GENE_0077	525
GENE_0183	ATM	294
GENE_0088	GENE_0089	951
GENE_0005	GENE_0046	641
MUTYH	GENE_0095	737
GENE_0046	GENE_0186	425
GENE_0003	GENE_0175	979
GENE_0143	FANCD2	806
GENE_0049	GENE_0022	770
GENE_0117	GENE_0064	418
GENE_0041	GENE_0049	628
GENE_0010	GENE_0073	873
GENE_0137	GENE_0042	746
GENE_0172	GENE_0052	610
GENE_0139	GENE_0099	765
GENE_0158	GENE_0100	207
GENE_0074	GENE_0008	666
GENE_0023	GENE_0083	441
GENE_0151	GENE_0173	753
GENE_0078	GENE_0000	460
GENE_0071	GENE_0098	716
GENE_0184	GENE_0134	805
GENE_0097	GENE_0157	245
GENE_0133	GENE_0126	741
GENE_0170	GENE_0153	816
GENE_0166	GENE_0061	619
BARD1	BRIP1	458
GENE_0097	GENE_0154	903
GENE_0181	GENE_0190	732
GENE_0029	NBN	197
GENE_0073	GENE_0161	263
GENE_0079	ATM	389
NBN	GENE_0171	330
GENE_0078	GENE_0188	538
GENE_0114	GENE_0087	266
GENE_0168	GENE_0075	564
GENE_0069	GENE_0171	391
CHEK2	GENE_0162	365
MUTYH	GENE_0103	996
GENE_0170	FANCD2	794
GENE_0164	APC	371
GENE_0149	GENE_0188	270
GENE_0043	GENE_0169	209
GENE_0026	BRCA2	429
GENE_0144	GENE_0022	276
GENE_0151	GENE_0086	425
GENE_0068	GENE_0059	845
GENE_0185	GENE_0101	629
GENE_0131	GENE_0074	524
GENE_0056	GENE_0168	646
GENE_0102	GENE_0149	510
GENE_0116	GENE_0066	641
GENE_0149	GENE_0024	891
GENE_0138	GENE_0087	899
GENE_0041	GENE_0075	358
GENE_0140	PTEN	942
GENE_0190	GENE_0124	798
GENE_0022	GENE_0149	319
GENE_0009	GENE_0121	320
CHEK2	GENE_0133	450
GENE_0053	GENE_0113	320
GENE_0035	GENE_0197	906
GENE_0155	GENE_0059	193
GENE_0131	GENE_0072	824
MSH2	PALB2	701
GENE_0036	GENE_0127	528
GENE_0158	GENE_0144	679
GENE_0031	GENE_0064	958
GENE_0154	GENE_0155	377
GENE_0123	GENE_0110	332
GENE_0091	GENE_0198	662
GENE_0123	CHEK2	871
GENE_0199	GENE_0100	387
GENE_0174	GENE_0021	670
GENE_0040	MLH1	835
GENE_0163	GENE_0003	582
APC	CHEK2	407
GENE_0006	GENE_0043	649
GENE_0138	GENE_0104	621
GENE_0041	GENE_0022	808
GENE_0087	GENE_0149	729
GENE_0017	GENE_0140	155
GENE_0012	GENE_0006	451
GENE_0120	GENE_0107	151
GENE_0060	GENE_0078	820
GENE_0039	GENE_0151	492
GENE_0135	GENE_0074	463
GENE_0196	GENE_0107	596
BRCA1	GENE_0091	992
GENE_0012	FANCA	245
GENE_0088	GENE_0074	312
GENE_0149	EPCAM	895
GENE_0136	GENE_0183	567
GENE_0062	GENE_0153	957
GENE_0102	GENE_0171	475
GENE_0136	GENE_0054	763
NF1	GENE_0003	212
GENE_0009	GENE_0197	455
GENE_0124	GENE_0128	992
GENE_0162	BRCA2	352
GENE_0152	GENE_0025	608
GENE_0021	GENE_0198	350
GENE_0032	GENE_0138	542
GENE_0040	GENE_0087	259
GENE_0178	GENE_0189	455
GENE_0167	PTEN	315
GENE_0170	VHL	385
GENE_0016	GENE_0056	485
GENE_0151	GENE_0198	295
GENE_0088	GENE_0010	525
GENE_0156	GENE_0178	716
GENE_0142	GENE_0070	679
GENE_0125	GENE_0193	830
GENE_0197	GENE_0151	873
GENE_0064	GENE_0078	641
GENE_0092	GENE_0084	780
GENE_0083	GENE_0165	711
SMAD4	VHL	404
GENE_0181	GENE_0166	562
GENE_0004	GENE_0181	893
GENE_0049	GENE_0094	553
RAD51C	GENE_0004	863
GENE_0178	CHEK2	601
GENE_0063	GENE_0168	721
GENE_0176	MSH2	391
GENE_0101	GENE_0105	848
GENE_0192	TSC2	335
APC	GENE_0091	637
GENE_0068	GENE_0154	432
GENE_0081	GENE_0135	290
GENE_0168	RECQL	858
GENE_0001	APC	512
GENE_0100	GENE_0107	883
GENE_0021	GENE_0104	440
GENE_0125	APC	750
GENE_0155	GENE_0157	312
GENE_0089	GENE_0135	504
GENE_0172	GENE_0045	384
GENE_0157	GENE_0049	450
GENE_0085	GENE_0044	832
GENE_0153	GENE_0029	753
GENE_0179	GENE_0034	276
GENE_0094	GENE_0184	419
GENE_0198	CDH1	763
GENE_0111	GENE_0150	717
GENE_0175	VHL	323
GENE_0031	NF2	246
GENE_0028	GENE_0025	645
GENE_0158	TP53	953
MUTYH	GENE_0187	171
GENE_0054	GENE_0007	407
GENE_0120	GENE_0175	786
GENE_0176	GENE_0049	510
GENE_0095	TP53	991
GENE_0146	GENE_0043	207
GENE_0115	GENE_0161	261
GENE_0186	GENE_0057	529
GENE_0021	GENE_0124	749
GENE_0194	GENE_0021	210
GENE_0146	GENE_0105	620
